Date,Time,ASHP reading,
19/09/2021,,,
20/09/2021,,,
21/09/2021,,,
22/09/2021,,,
23/09/2021,,,
24/09/2021,,,
25/09/2021,,,
26/09/2021,12:05,4578.3,
27/09/2021,,,
28/09/2021,,,
29/09/2021,,,
30/09/2021,,,
01/10/2021,,,
02/10/2021,,,
03/10/2021,13:55,4617.25,
04/10/2021,13:55,4625.53,
05/10/2021,,,
06/10/2021,,,
07/10/2021,13:55,4652.85,
08/10/2021,13:55,4658.29,
09/10/2021,14:25,4665.14,
10/10/2021,15:04,4671.24,
11/10/2021,,,
12/10/2021,,,
13/10/2021,13:50,4690.14,
14/10/2021,13:50,4697.92,
15/10/2021,,,
16/10/2021,13:50,4715.22,
17/10/2021,,,
18/10/2021,13:34,4731.41,
19/10/2021,,,
20/10/2021,,,
21/10/2021,,,
22/10/2021,13:55,4760.3,
23/10/2021,,,
24/10/2021,13:55,4787.7,
25/10/2021,13:55,4799.48,
26/10/2021,13:50,4812.16,
27/10/2021,,,
28/10/2021,,,
29/10/2021,13:50,4839.78,
30/10/2021,13:50,4850.84,
31/10/2021,,,
01/11/2021,,,
02/11/2021,,,
03/11/2021,,,
04/11/2021,,,
05/11/2021,13:50,4952.69,
06/11/2021,,,
07/11/2021,,,
08/11/2021,13:50,5004.51,
09/11/2021,,,
10/11/2021,,,
11/11/2021,13:50,5041.37,
12/11/2021,,,
13/11/2021,15:00,5067.62,
14/11/2021,13:50,5079.34,
15/11/2021,13:50,5095.78,
16/11/2021,13:50,5109.32,
17/11/2021,,,
18/11/2021,16:00,5139.14,
19/11/2021,,,
20/11/2021,13:50,5209.92,
21/11/2021,,,
22/11/2021,,,
23/11/2021,13:50,5237.15,
24/11/2021,,,
25/11/2021,,,
26/11/2021,,,
27/11/2021,13:50,5339.86,
28/11/2021,14:09,5371.97,
29/11/2021,,,
30/11/2021,,,
01/12/2021,,,
02/12/2021,,,
03/12/2021,,,
04/12/2021,14:00,5534.06,
05/12/2021,13:50,5559.26,
06/12/2021,,,
07/12/2021,,,
08/12/2021,,,
09/12/2021,,,
10/12/2021,13:50,5690.5,
11/12/2021,13:59,5718.29,
12/12/2021,13:50,5736.89,
13/12/2021,,,
14/12/2021,,,
15/12/2021,,,
16/12/2021,,,
17/12/2021,13:50,5814.75,
18/12/2021,,,
19/12/2021,,,
20/12/2021,13:50,5884.08,
21/12/2021,,,
22/12/2021,,,
23/12/2021,,,
24/12/2021,,,
25/12/2021,,,
26/12/2021,,,
27/12/2021,,,
28/12/2021,,,
29/12/2021,,,
30/12/2021,13:50,6101.63,
31/12/2021,,,
01/01/2022,13:50,6125.69,
02/01/2022,13:50,6138.35,
03/01/2022,,,
04/01/2022,,,
05/01/2022,14:40,6203.24,
06/01/2022,13:50,6233.92,
07/01/2022,,,
08/01/2022,13:50,6291.91,
09/01/2022,13:50,6319.32,
10/01/2022,,,
11/01/2022,13:50,6362.49,
12/01/2022,,,
13/01/2022,,,
14/01/2022,13:50,6446.42,
15/01/2022,,,
16/01/2022,,,
17/01/2022,,6533.97,
18/01/2022,,6564.3,
19/01/2022,,,
20/01/2022,,,
21/01/2022,,,
22/01/2022,,,
23/01/2022,,,
24/01/2022,,6746.9,
25/01/2022,,6783.28,
26/01/2022,,6812.14,
27/01/2022,,,
28/01/2022,,6857.64,
29/01/2022,,,
30/01/2022,,,
31/01/2022,,,
01/02/2022,,6936.64,New tariff!
02/02/2022,,6953.08,
03/02/2022,,,
04/02/2022,,,
05/02/2022,,7000.87,
06/02/2022,,,
07/02/2022,,,
08/02/2022,,7064.42,
09/02/2022,,,
10/02/2022,,7099.28,
11/02/2022,,,
12/02/2022,,7144.05,
13/02/2022,,,
14/02/2022,,7183.3,
15/02/2022,,,
16/02/2022,,,
17/02/2022,,,
18/02/2022,,,
19/02/2022,,,
20/02/2022,,7295.6,
21/02/2022,,,
22/02/2022,,,
23/02/2022,,7357.56,
24/02/2022,,,
25/02/2022,,,
26/02/2022,,,
27/02/2022,,7438.71,
